,Jul-85,Jul-86,Jul-87,Jul-88,Jul-89
US,237923795,240132887,242288918,244498982,246819230
AL,3972523,3991569,4015264,4023844,4030222
AK,532495,544268,539309,541983,547159
AZ,3183538,3308262,3437103,3535183,3622185
AR,2327046,2331984,2342355,2342656,2346358
CA,26441109,27102237,27777158,28464249,29218164
CO,3208723,3237450,3260480,3262281,3275818
CT,3201131,3223740,3247291,3271953,3283403
DE,618280,627559,636947,647622,658273
DC,634549,638269,636930,630432,624168
FL,11351118,11667505,11997283,12306395,12637715
GA,5962661,6084666,6208467,6316142,6411099
HI,1039698,1051762,1067918,1079828,1094588
ID,994051,990224,984997,985664,994416
IL,11399806,11387257,11391178,11390183,11409782
IN,5459211,5454108,5473012,5491735,5523693
IA,2829684,2791970,2767011,2768388,2770592
KS,2427405,2432619,2445367,2461996,2472849
KY,3694826,3687809,3683329,3679999,3677306
LA,4408118,4406919,4344148,4288863,4252894
ME,1162936,1170126,1184574,1203840,1219961
MD,4413071,4486957,4565557,4657904,4727301
MA,5880733,5902678,5935204,5979982,6015478
MI,9076293,9127775,9187481,9217998,9253295
MN,4184302,4205212,4235136,4296166,4338057
MS,2588102,2593597,2588545,2580352,2574269
MO,5000268,5023068,5056696,5081736,5095830
MT,822320,813739,805063,800202,799636
NE,1584664,1574333,1566547,1571477,1574864
NV,951030,980613,1023376,1075022,1137382
NH,996753,1025053,1054289,1082577,1104522
NJ,7565528,7622159,7670742,7712333,7726089
NM,1438361,1462729,1478520,1490337,1503901
NY,17791672,17833419,17868848,17941309,17983086
NC,6253954,6321578,6403700,6480594,6565459
ND,676980,669512,661136,655331,646351
OH,10734926,10730268,10760090,10798552,10829217
OK,3271332,3252735,3210122,3167057,3150307
OR,2672652,2683528,2700991,2741297,2790575
PA,11770862,11782752,11810866,11845752,11865996
RI,968955,977341,989604,996408,1000666
SC,3303209,3342758,3380506,3412096,3456775
SD,698402,696034,696036,698165,696701
TN,4715296,4738708,4782927,4822437,4854444
TX,16272734,16561113,16621791,16667022,16806735
UT,1642910,1662834,1678119,1689372,1705864
VT,530035,534066,540267,549763,557707
VA,5715153,5811700,5932268,6036909,6120246
WA,4400098,4452720,4531901,4639893,4746316
WV,1906831,1882350,1857585,1830215,1806568
WI,4747767,4755618,4777919,4822388,4856574
WY,499695,495633,476965,465101,458374